,#,gender,years_from_grad,age,highest_education,prework_issues,self_report_languages,self_report_math,household_income,total_usr,total_views,views_in_test,time_taken,cog_irt,learn_irt,comp_irt
62,v1gwdqspiai9fjgl9nqefhav1gwdqspi,Female,2,27,2,0,4,4,2,21,4.0,2.0,54,0.238958636715337,-0.13584523682815,-0.313943641611988
63,wu5auuf343utmnts11wu5auc9sc5l3fz,Male,6,28,2,0,5,6,1,28,6.0,1.0,67,-0.452931052353562,-0.0113157438077952,-0.159702711125771
64,dauq0r3v43xb242infedauq0g1zbhnye,Female,0,23,2,0,5,4,1,25,4.0,0.0,90,-0.0937447828026741,-0.166318649069925,-0.314376520489825
65,9lt771mg0eqic3cxtz89lt7pfiws6uxf,Male,8,30,2,0,4,5,1,29,8.0,1.0,68,-0.301959481656849,-0.0113157438077952,-0.159702711125771
66,2qhgxunrgb7jb9xq7bu72qhgxugdzhls,Male,4,26,2,0,1,5,2,24,4.0,1.0,69,-0.372438319408112,0.656756616881943,1.06480779815886
67,6s33j8626i2qqnv2erd6s33u9o2nbsk1,Male,-1,23,1,0,5,6,1,27,3.0,0.0,71,-0.337446805692859,0.18005989411102,0.100361095289627
68,dnl0zbh7vh12cndnlt1xoyoewxiko8cb,Female,9,31,2,1,4,5,1,24,4.0,0.0,96,-0.334839001400428,-0.152470061743813,-0.490199886678918
69,mp8ymhxja04e2bpx1mp8ymhuzeiqva7a,Female,5,27,2,0,5,6,1,24,7.0,2.0,77,-0.929140329235157,1.03726917241436,0.851922966297813
70,my3nlprgdx80b5ht82my3nl3dpgp5eok,Female,3,24,2,0,5,4,1,27,6.0,0.0,62,-0.0205469416733971,-0.429103127952982,-0.579578258751356
71,18lo4t8lrdmp7b18lo4al6nvm1j03xsr,Male,2,30,2,1,1,1,1,24,11.0,0.0,87,-0.497716538542528,-0.135977236975843,-0.0869894263856664
72,cm9un33cgronxy1gqscm9ufyi13e9ew0,Female,3,22,2,0,5,4,2,28,3.0,0.0,83,-0.475484632606348,0.123500396172602,0.0047749891621022
73,perg8c7mrscbpm5b8perguug3v5rvc5c,Male,4,26,2,0,6,6,2,26,8.0,2.0,98,-1.47140658552482,0.733159121022218,-0.130734089908879
74,7htg81yu5aid9uam47htg81reglwetpo,Female,0,24,1,0,4,5,2,17,3.0,0.0,82,-0.084022104194386,-0.449889065290347,-0.496308936363263
75,e35zq5i95g35miuve35zqut7qcwq8m5p,Female,1,28,3,0,5,5,2,27,3.0,0.0,81,-0.616350908026944,-0.129525295661197,0.623612877765862
76,yfbjeqp9m5nv8gxf2jemyfbjeqjnupbw,Male,1,24,2,0,5,6,1,27,10.0,0.0,33,-0.795860016624733,0.178517542490226,-0.0571491132250944
77,rt5nyjlpj4bxekirt5nyfqtl3g35mmjt,Female,2,24,2,1,5,4,2,19,1.0,0.0,87,0.136766425336543,-1.99458161557796,-1.47709656803842
78,hxvs8rydndrgoffwu9hxvs8sgtau48xa,Male,3,26,2,0,3,5,1,27,3.0,0.0,81,-0.56413548163676,0.188523327276499,-0.0099666837213037
79,j95q4iyyrstjhj95q4djv5ryp12ln16g,Female,19,41,2,0,5,5,1,22,6.0,0.0,40,-0.718854447509334,0.579426611802653,1.02675308868596
80,y3vvxk1ah24d0y3vvx9ue6d1g58j8pq9,Female,8,30,2,1,5,5,1,21,0.0,0.0,65,0.3535739735371,-1.98258338174733,-1.3515247566703
81,z1245dpdo5afo2ru1jzfz1245dicoaj5,Female,-1,23,2,0,1,2,1,24,6.0,0.0,39,-0.273016973465061,-0.455612363999783,-0.66135948905235
82,tvyifdefgt6t3ko2tvypnl958z5hh5cq,Male,-1,21,2,0,5,6,2,16,3.0,2.0,44,-0.836851530710484,-0.0596461418656398,-0.155566038440356
83,1nv99jh7o0zhtmio1nv962wcfrjke4qz,Male,0,23,2,0,5,5,1,28,6.0,0.0,59,-1.46268424395786,0.279680871016589,0.986083680393561
84,ojshw05tnphyqpi7ofojsh3bb18itn46,Male,2,24,2,0,2,4,1,19,0.0,0.0,75,-0.178453159207421,-2.2605367783053,-1.44229066409298
85,qhfvnr6cf0329g5mk6qnqhfvnv8u5zpt,Female,6,28,2,0,6,2,1,27,13.0,0.0,46,-0.877853204375105,0.188523327276499,-0.0099666837213037
86,e5sl2kdy3ifiix41ee5sl2ky5a3bm139,Female,5,27,2,0,6,6,1,27,4.0,0.0,47,-1.01947319957936,0.682761570830734,0.940120480938203
87,jt2ri785h4ifv8jtney2ahnl983l39ne,Male,0,24,2,0,6,6,1,30,3.0,0.0,63,-0.946078595253405,-0.390637628708243,-0.245592052635999
88,n39e414xm2p6f4gbfn39e3l08ekhrztl,Female,2,26,2,0,5,5,3,21,6.0,0.0,51,-0.926580145595231,0.301927992007373,0.665144926732149
89,gawvb6ws2m3rk5320gawvb6hi5qdj1hd,Female,2,19,1,1,3,4,1,18,8.0,0.0,91,-0.742501712949704,0.606236658867857,0.738246479017711
90,rx5rpu1kb3zzip0trx5ia52n1jl1dlyz,Female,0,25,3,0,6,4,2,23,3.0,0.0,37,-0.794772072645777,0.0454388722035614,-0.213599092713232
91,p0fdtqkn09gianvrvp0fdtv3bah7ujz0,Female,0,21,2,1,4,2,1,27,6.0,0.0,55,-1.45040887530942,-0.877136488056162,-1.30164445852302
92,mgkrafrw6xksyfx2ascstxmgkra74qbn,Male,1,22,2,0,3,5,1,18,4.0,0.0,47,-1.08697289452032,0.965015454170011,0.748686561100008
93,b71w84s91qgh9b71w8n9o8c2t82dazb4,Male,0,22,2,0,3,4,1,15,8.0,0.0,69,-0.98022174206083,-1.00929019474405,-1.34546747359182
94,9xuhlrlybnf31a9xuh5qua4j8isomzbz,Female,7,28,2,0,6,5,2,26,6.0,0.0,63,-1.10850654338433,-0.0084724302438203,-0.209734896351677
95,sc584pweglrj41gyhag81esc584pwdu7,Female,-2,28,3,0,6,2,3,21,6.0,3.0,55,-1.10460989479093,0.0873619515129652,-0.0882045783842486
96,gjz1h5y49di1oans3gjz1h5srpi4ikgw,Female,2,24,2,1,5,6,1,13,0.0,0.0,93,-0.587696162195561,-1.82779575226946,-1.59641600525253
97,z57ybsqjqxigjtgz57ybsq6d942qiaoj,Male,1,29,3,0,5,5,3,20,8.0,0.0,45,-1.54149313622914,-0.312217058442916,-0.395229147761446
98,dhwki8oqmndhw2bfhus7jtfn7awbvz2b,Male,0,24,2,0,5,6,1,27,6.0,0.0,44,-1.468789596531,-0.234094473414417,-0.441825676411182
99,ic302gnzhyl46ic3h65d9doo0mum1293,Female,3,25,2,0,6,6,2,24,4.0,3.0,74,-1.12310085928724,0.116056357312764,-0.280648450344404
100,6lplbwvbiay2m3a3zzjzit6lplbwvj31,Male,4,30,3,0,5,5,1,28,3.0,0.0,36,-1.52676176731979,-0.556863235022247,-0.258775222030264
101,tg4f99pbtgkvgm0mykvgtg4dau8v21nz,Male,-1,24,2,1,6,6,1,6,1.0,0.0,13,-0.680846541479073,-2.22944102363157,-1.85299504629516
102,rx6vksd29o3xs9vym0n3crx6vk7bxhvd,Male,0,39,3,0,6,5,3,17,8.0,1.0,44,-1.70196803160828,-0.202555117817124,0.582723736564276
103,yowgra8khf2wyn9u95b7yowgra8sz563,Male,4,27,2,0,4,6,3,21,4.0,0.0,17,-1.13853772645295,-0.348481659537956,-0.0327983624471854
104,tq23ia5wvolmiea4lxtq23xscqws99x0,Male,-1,23,2,1,3,4,1,26,0.0,0.0,16,-1.7515022611933,-1.55198239979944,-0.375645376513659
105,41c5zx789o5so7rfp7e41c5w9hdfx07r,Male,-2,23,2,1,3,5,1,12,1.0,0.0,8,-2.01294541729636,-1.52889432994896,-1.52718565209551
106,pgigvpqh48h4c2mxhkoopgigvp3jda0c,Male,0,23,2,0,6,6,1,16,0.0,0.0,19,-2.73229975454737,-2.22817952151911,-1.82503355812256
