,#,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22,item 23,item 24,item 25,item 26
47,0m4vlu0jb1h90m4wsc8e9vqr66s9gq48,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
48,lvinkgz4r6quz434r4lvinkg441qqd67,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1
49,lro1olonaldi3eup90q9lro1ole0vey3,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0
50,9yop6ih3oo10ksglnm9yop6iwqz5y6p1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
51,qtr6a70oh9gzhuck7gli23o4qtr6a70a,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1
52,4rvg8h85qnn3r44rvg8ndvia20541727,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
53,c6v0zrhm1qsr9jdc6v0z9q3p5g01j9mf,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
54,rlz2wsriq48vgdrlz2wbo1y176t16xtx,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
55,5e4y2ft4xjibgbamic75e4y2hzxhln2v,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
56,9eeea3gl19rhwnt74ykg9eeeabunqx66,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0
57,t0f30j01gu8s4mt0f3tftu2mj6de3123,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
58,da4fpwzwdxgd9948l99da4fpwfcup147,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
59,zcjopyb34jfzrtkkzcjourzg3gfcr82g,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0
60,m738ldm3mf9nk42p0m738ldhydbsbd94,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
61,zb89cu1hnahydarlyjcn5zb89cu1holu,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0
62,seyymhw7q5gne92nb0trpseyymhwsogj,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1
63,53xyonmf7lqe8n65253xyoz3a19jdl3l,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
64,mkea71qkdncj6rtw2mkeablmbxt49kj9,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0
65,o52llskwbxyit58ei6v79o52llskrt0p,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0
66,mji6or0ulw3wj23koiokbmji6jmw2m4a,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
67,5p7ppuuu2nhlul6ip3uk4s5p7pputl0t,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0
68,elpy71hb4dfn7sthkaelpy71hgaqibbm,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0
69,n6kozh5i3wrcjq452vqmvzqvn6kozhhf,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0
70,n2g2h5vputc8td4ktzcn2g2h54y5l2jt,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0
71,3vvnzsqmmud9bam4yh3vvnzs1jmg97mc,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
72,eao59oko97266znstqeao59q6d2a14xa,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
73,m1x080sk6npaq73ha5m1x080sdoefva7,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
74,oywvfds7atc8whwwooywvfds04gtfsqt,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
75,1qaehr7wd64aihy1qaehwox9llzbzo8z,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1
76,7ipx1u6zthqmcbt50x1jdn1j7ipx1u6l,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0
77,zyhmv9czf9lvggmdfucozyhmvqf6aiga,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
78,wa7jdogzz4y2be4lxiwa73dvfqcttgo7,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
79,phsk6rmlx0drxgd1phsksg1ak2zptiqw,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
80,osh7o5s2h28ihaoshwap92qplfchasec,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
81,ntqayekfzq4f2fvjzm8ntqa4101miomi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
82,6x7je44uyn1c0n6x7je4khrkjku27zqv,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
83,k5kl37u1g7gmhzhnvck5klc2dguroyoa,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1
84,hmkxx3129lrd4u2smhmk8gsvxikq6mf9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0
85,afdafu9vn4seij1b4cx9afdafu99vpc4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
86,5dv2rshi6cx3cu1a15ztd5dv2rsh7gh0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
87,cw6pegl6wrqcw61p838e1lj730zp1k09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
88,zolz3ihddsve7mheuuvmhazolz3ihbpq,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0
89,taco3s1p5ec012vtaco3xj9dilf23qjj,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
90,lnmh3xvrya2ryti6dezsdlnmh37h7mlh,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
91,v3qtgml0b7byxwv3qtvr2s0dx04pqjj9,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0
92,cjidks01ff5ogv6anyvd0gcjidks01fy,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
93,ndydminpu9v4ole3s9ndydm686avhrgs,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
94,ckbk18zv40kyyu13e9ckbgoug6s2zgko,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0
95,je5kfpewcjhq3cz0j3xje5kf3w21pzfd,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0
96,qs2dejk29j4ary69qs2dejrrv8thppla,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
97,v1heo59wwec32i085q77lv1heo5dbybx,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
98,a8zgqa3m55uelqfa8zgqthf5kyhlhuvw,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0
99,1i1az1oyeo6elj1i1az3dqfp7blrddu6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
100,n4l7hftdb31jz6795yn4l7hfftov7wvw,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1
101,81cvn2osbyhjzvcrd8x81cvdyd7snuip,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0
102,317aa6pspk2n1j317vp59szee85vn5vp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
103,jpr2db58kevg8357jpr2dbi2fbhw1ol4,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
104,0j4r2vko5otzdxz3h0j4rftrcywda15j,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
105,o3300heaq7lhrw7c84xzo3300hwox58u,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
106,cs21i7hw3a9d6ga9cs2jlb0h0zocifjl,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
107,qd7c8kze6acajtqd7c4792ir69vpss0f,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1
108,6rxzwq8hfqtdq4z5px6rxzwfwrkmp8sf,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
109,ftehiht1unmpwual9vuftehi15nh3ixp,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
110,po87tloagom9mcc6bipo87tllxqqzcgq,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1
111,sz8x5d33ydfvvbhsz8x5wxx3e7hymz70,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
112,qgtj2dg4tynlzsksfiqgtj2xknxqmyx5,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
113,gcoupxodg8ji070xf0iwifgcoupxwtxd,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
114,b1selxuuo0vrcqhwz7b1s91lhperjz3i,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
115,lge2wvyeuitkfx3hglge2wvqpqpt5gpw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1
116,vdvnr1qqntdzm63yvbryvdvnrwhtnhzi,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
117,u68guqov564z3ya9nu68g67idv9bhpqs,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
118,we2x9s53vz2efh2lwe2x9sqyf5sl8811,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0
119,4u49q4xiacrirmp5bl4u49q65gxjfg9e,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1
120,6ictxss97n0lhkx9kgv6ictxsvst71td,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0
121,ep0winzifefx9xfep0wtwdkk03x59l8x,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
122,8qfu4rlxyxo04jt8qyvzegwdasdcjkpt,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
123,mzw3yk974mnjtufnqghnmzw37zk36eml,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
124,bjg1qn2f71vtv2l3bjg1huv5h3rsp4mq,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1
125,5n601matxryqqpq5n6a04j1lqv9f1id6,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0
126,0xb1oo7lck4r300xb129t2umfnxoch0o,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1
127,tpbbkn0u2e61qcftpbbuypon1j1s88lj,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
128,d87u3q50a9i9zyyi3d87u7eccekrzaes,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
129,drrytt12z3cimqvdrryeet7bgnodrz3n,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
130,h2ldz7h6jkifkjw5z2h2ldz0ahzx56q2,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0
131,14jaf820q1q36ra4r0a314jax48zecyz,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
132,l0sl1mu3y7f23s3jbn2el0sl1muv60zs,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
133,5yblti8k2tvno5xx65ybltit4v7kfsm9,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0
134,rjkbqppx34sc7rwtrjkbfu14hqs6mdvg,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0
135,q0lp5x4f845fgq0lpp3al41fs7zxp3ip,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1
136,xtnawa2ych2et3w6qgyj4xtnawadudx9,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
137,gfllj6kyn1k9ay605k5zgfllj1api4bm,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0
138,1uphm1snpzpujkz1uphwvme1j9ag752h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0
139,42ro88xy523rxtopg42rotsdcbv00yos,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
140,uy51ns979wxrexm5jjlxuy51nkhix02j,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1
141,ex3cichvlwdlbm5prex3cicy4m3q3fq3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0
142,8hlksnd8h6a8b6d5cdh8hlksni5xy1qj,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0
143,4mlfacdwagqqgm67z4mlfhzlxvikzq1m,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
144,fjdge5mb86fmly52sfjdgf6bfavti1gm,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1
145,gkjdkov72ktygdbxxagkjdk21x90judn,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0
146,9gltub2x3dk18dsxwkxg9gltu1hnsd65,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
147,tng1tgsvtf9hgy7n8xt7w5fdtng1t123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1
148,eiph1zrugal5vyioteiph1z1f3slp871,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
149,ac57nvihag807xf53517acgs4osiiagd,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0
150,fydrflf7j3vufrhocxfydrof75f5tbpf,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0
151,qcvcsthdklsn79hjczfqcvcqycmf24rj,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1
152,2hp9ozgha9hbvs5o2of2hp9ozgy1966j,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
153,oqnwstozjnzn68dz9swoqnwsm4r3up3k,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0
154,m2lqmxlmmu681cc2mr4gm2lqmxl4bd9r,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
155,30zy0rvv55ek30zppk54w5c66jvvdxpp,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
156,1ucf5407jkc5esynu21ucfq7t5bs3y53,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
157,me0t5sbspcy66iorhvhvme0t5s6os1xv,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
158,5fzm3gacx0wafwuedibtul5fzm3gam93,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
159,44bg372fvwtebk44bg38mc5pumtzfwlm,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1
160,zvanufp68mh5omfwfik3czvanm87ga61,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
161,fnnms5a15jxycpva52bdqefnnms5a1ow,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1
162,3eowhlxy3nyxog5u3eod8meh0ptsbmir,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
163,tyaoccgrunuctyaocgwfch2gjsmg5u7l,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1
164,05l6oub0uv9icyu2is05l6ojnw00czzd,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
165,ko0w240rjz4oj5cxzy3ko0w24oxz3pus,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
166,187jevjy6o4ohl50uyglj187jevak67y,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
167,nwf63wq78xbi16hjnwf63f9wfs5ns49v,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
