,#,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22,item 23,item 24,item 25,item 26
0,l57iwxvbsb30sjpuy45hil57iwntda7l,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
1,hml6linh2hxbyusch5khml6lxf31xwnj,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
2,mxyvt2njz01ozvgiam0y5jmxyvt2dsw5,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
3,er329a654xjyg4w954ccpaer329az2ct,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
4,lqmsqqqpqf86dkqi63rtgep7lqmsqqng,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
5,zgz99euhlazikmeym4izgz99eu797hm0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
6,jttlvk8lin0b45zhm2jttlvkjue38spn,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
7,c5d284y0lbntgkk3c5d284oztrpbtp3o,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
8,ey17flrkpgpere6a9oey17ndj3ot2nyn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,20kwiyjcppv600bcn520kwicwgz1lf19,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1
10,co3812bm0p19rouqtbimt3ajco38122q,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
