,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
93,cjidks01ff5ogv6anyvd0gcjidks01fy,Kenya,Male,34,1,2,0.0,3,2,32,100.0,2.5,0.0456598160139913,-1.43058285800131
94,ndydminpu9v4ole3s9ndydm686avhrgs,Kenya,Male,30,5,2,7.0,5,5,59,69.5,1.0,-0.421917341522524,0.0595178787230245
95,ckbk18zv40kyyu13e9ckbgoug6s2zgko,Kenya,Female,29,3,2,6.0,3,5,37,73.47,1.0,-0.156950560140111,0.0229408661187754
96,je5kfpewcjhq3cz0j3xje5kf3w21pzfd,Kenya,Male,41,3,3,2.0,5,5,64,98.56,2.5,-0.258994442758207,-0.720368137900652
97,qs2dejk29j4ary69qs2dejrrv8thppla,Kenya,Female,31,5,3,-1.0,4,5,18,100.0,1.0,-2.07613090330215,-0.905098643526963
98,v1heo59wwec32i085q77lv1heo5dbybx,South Africa,Male,21,1,2,1.0,3,4,39,100.0,1.0,0.180116207167034,-1.12711333613817
99,a8zgqa3m55uelqfa8zgqthf5kyhlhuvw,Kenya,Female,39,3,3,2.0,4,3,81,99.965,6.0,0.465648867334353,-0.025262406289278
100,1i1az1oyeo6elj1i1az3dqfp7blrddu6,Kenya,Male,34,2,1,0.0,4,5,67,95.75,2.0,-1.01853428599938,0.259946687144389
101,n4l7hftdb31jz6795yn4l7hfftov7wvw,Kenya,Male,19,5,1,-3.0,5,5,44,99.225,1.0,0.0153496287953023,1.71345381342111
102,81cvn2osbyhjzvcrd8x81cvdyd7snuip,Kenya,Female,28,1,3,2.0,5,5,31,77.105,2.0,-0.260194596258297,0.474353658792043
103,317aa6pspk2n1j317vp59szee85vn5vp,Kenya,Male,26,1,2,3.0,1,1,36,86.33000000000001,2.0,-1.28936619127873,-0.532096227459502
104,jpr2db58kevg8357jpr2dbi2fbhw1ol4,Kenya,Female,24,1,2,0.0,3,4,37,75.995,2.0,-1.35532046931567,-1.81204370738482
105,0j4r2vko5otzdxz3h0j4rftrcywda15j,Malawi,Female,24,2,2,1.0,4,5,13,99.68,5.0,-0.393629664410279,-0.936934540872306
106,o3300heaq7lhrw7c84xzo3300hwox58u,Kenya,Male,24,1,2,2.0,5,5,73,4.47,1.0,-0.50638678804748,-0.291029658886938
107,cs21i7hw3a9d6ga9cs2jlb0h0zocifjl,Sudan,Male,27,1,2,1.0,4,3,10,97.295,1.5,-0.636232542612441,-1.1884182403941
108,qd7c8kze6acajtqd7c4792ir69vpss0f,Kenya,Female,28,4,1,7.0,4,1,48,100.0,1.0,-0.84185909972189,-1.83039944401387
109,6rxzwq8hfqtdq4z5px6rxzwfwrkmp8sf,Kenya,Male,24,5,2,2.0,5,5,64,93.08,2.0,-0.795631789583496,0.336632865703002
110,ftehiht1unmpwual9vuftehi15nh3ixp,Sudan,Female,24,1,1,0.0,4,3,70,100.0,2.0,1.37689283219975,1.52744537803524
111,po87tloagom9mcc6bipo87tllxqqzcgq,Ghana,Female,27,1,2,7.0,5,4,84,98.705,2.5,0.332986898983348,0.361219582076203
112,sz8x5d33ydfvvbhsz8x5wxx3e7hymz70,Kenya,Female,28,5,3,0.0,5,5,62,75.035,1.5,-1.2260397511007,0.442623754893578
113,qgtj2dg4tynlzsksfiqgtj2xknxqmyx5,Nigeria,Male,27,1,1,4.0,5,5,11,100.0,2.0,2.23130970425126,0.953643328532755
114,gcoupxodg8ji070xf0iwifgcoupxwtxd,Kenya,Male,23,1,2,0.0,5,5,107,100.0,3.0,1.58939429141307,-1.30485111135764
115,b1selxuuo0vrcqhwz7b1s91lhperjz3i,Nigeria,Male,28,1,2,2.0,4,3,27,100.0,2.5,0.636272321464169,0.0276394661136442
116,lge2wvyeuitkfx3hglge2wvqpqpt5gpw,Kenya,Female,23,5,2,-1.0,5,4,14,97.46,1.5,-1.00757659661581,-0.144328944484968
